"","Extraction_CD","SDS_tube_CD","ExtractionID_CD","AssessID","ID","Falcon_Tube","Homogenization_Date","tag","Location","Region","depth_ft","firstvisit_date","length","width","height","periods_visited","periods_treated","treat_type","total_treatments","Resistance","Sample_Period","Sample_date","Sample_time","DiseaseStatus","CoreAngle","CoreLocation","CoreHeading","CoreDepth","Notes","Sample_ID","RNA_Ext_Coordinate","Order_RNA","qPCR_Coordinate","Order_qPCR","RNA_Original_concentration","RNA_Dilution_concentration","Cq","Plate_Number"
"1",1,81,"1_81","617","617",58,"21/06/2022","617","Looe",NA,30,"3/26/19",344,320,302,8,NA,"Amox",3,"Some",1,"6/12/21","12:35","A","Vertical","MS","SW","18","58","58_617",NA,NA,NA,NA,NA,NA,NA,NA
"2",2,60,"2_60","617","617",220,"21/07/2022","617","Looe",NA,30,"3/26/19",344,320,302,8,NA,"Amox",3,"Some",2,"9/15/21","14:28","P","Vertical","MS","SW","18","220_TS_Keys_2","220_617","G9",81,"G9",81,8,4,"18","TP2"
"3",3,55,"3_55","617","617",277,"18/07/2022","617","Looe",NA,30,"3/26/19",344,320,302,8,NA,"Amox",3,"Some",3,"3/1/22","15:36","P","Vertical","MS","SW","18",NA,"277_617","D2",38,"D2",38,18,8,"19","TP3"
"4",1,82,"1_82","663","663",48,"21/07/2022","663","Looe",NA,28,"3/31/19",510,390,260,10,NA,"Amox",2,"Some",1,"6/12/21","12:49","P","Flat","Top","S","23","48","48_663","A10",10,"D2",38,21,8,"26","TP1"
"5",2,69,"2_69","663","663",224,"20/07/2022","663","Looe",NA,28,"3/31/19",510,390,260,10,NA,"Amox",2,"Some",2,"9/15/21","14:15","P","Flat","Top","S","23","224_TS_Keys_2","224_663","H3",87,"H3",87,5,4,"18","TP2"
"6",3,86,"3_86","663","663",282,"18/07/2022","663","Looe",NA,28,"3/31/19",510,390,260,10,NA,"Amox",2,"Some",3,"3/1/22","15:13","A","Flat","Top","S","23",NA,"282_663","D8",44,"D8",44,28,8,"Undetermined","TP3"
"7",1,87,"1_87","675","675",43,"21/07/2022","675","Looe",NA,15,"4/1/19",312,258,220,8,NA,"Amox",50,"Low",1,"6/12/21","13:17","PC","Vertical","MS","W","14","43","43_675","A8",8,"D8",44,17,8,"Undetermined","TP1"
"8",2,61,"2_61","675","675",220,"21/07/2022","675","Looe",NA,15,"4/1/19",312,258,220,8,NA,"Amox",50,"Low",2,"9/15/21","12:27","P","Vertical","MS","W","14","220_TS_Keys_2","220_675","G10",82,"G10",82,4,4,"19","TP2"
"9",3,69,"3_69","675","675",272,"18/07/2022","675","Looe",NA,15,"4/1/19",312,258,220,8,NA,"Amox",50,"Low",3,"3/1/22","13:00","A","Vertical","MS","W","14",NA,"272_675","C12",36,"C12",36,27,8,"18","TP3"
"10",1,71,"1_71","679","679",63,"21/06/2022","679","Looe",NA,25,"4/1/19",290,252,253,10,NA,"Amox",26,"Low",1,"6/12/21","13:32","P","Vertical","MS","NE","23","63","63_679",NA,NA,NA,NA,NA,NA,NA,NA
"11",2,90,"2_90","679","679",228,"20/07/2022","679","Looe",NA,25,"4/1/19",290,252,253,10,NA,"Amox",26,"Low",2,"9/15/21","13:01","P","Vertical","MS","NE","23","228_TS_Keys_2","228_679","H6",90,"H6",90,5,4,"18","TP2"
"12",3,57,"3_57","679","679",277,"18/07/2022","679","Looe",NA,25,"4/2/19",290,252,253,10,NA,"Amox",26,"Low",3,"3/1/22","13:23","P","Vertical","MS","NE","23",NA,"277_679","D4",40,"D4",40,18,8,"20","TP3"
"13",1,60,"1_60","689","689",3,"18/07/2022","689","Looe",NA,22,"4/1/19",355,280,282,10,NA,"Amox",48,"Low",1,"6/12/21",NA,"P","Vertical","MS","SW","18","3","3_689","A2",2,"D12",48,10,8,"26","TP1"
"14",2,88,"2_88","689","689",204,"20/07/2022","689","Looe",NA,22,"4/1/19",355,280,282,10,NA,"Amox",48,"Low",2,"9/15/21","13:36","P","Vertical","MS","SW","18","204_TS_Keys_2","204_689","F7",67,"F7",67,4,4,"18","TP2"
"15",3,83,"3_83","689","689",282,"18/07/2022","689","Looe",NA,22,"4/2/19",355,280,282,10,NA,"Amox",48,"Low",3,"3/1/22","14:58","P","Vertical","MS","SW","18",NA,"282_689","D5",41,"D5",41,15,8,"21","TP3"
"16",1,89,"1_89","693","693",53,"21/07/2022","693","Looe",NA,25,"4/2/19",318,280,240,10,NA,"Amox",35,"Low",1,"6/12/21","14:42","P","Angle","T","NW","19","53","53_693","E11",59,"E5",53,18,8,"25","TP1"
"17",2,72,"2_72","693","693",216,"21/07/2022","693","Looe",NA,25,"4/2/19",318,280,240,10,NA,"Amox",35,"Low",2,"9/15/21","13:48","A","Angle","T","NW","19","216_TS_Keys_2","216_693","G5",77,"G5",77,11,4,"19","TP2"
"18",3,82,"3_82","693","693",287,"18/07/2022","693","Looe",NA,25,"4/2/19",318,280,240,10,NA,"Amox",35,"Low",3,"3/1/22","14:24","A","Anglr","MS","N","22",NA,"287_693","H5",89,"H5",89,23,8,"19","TP3"
"19",1,55,"1_55","695","695",28,"15/07/2022","695","Looe",NA,26,"4/2/19",540,395,348,9,NA,"Amox",50,"Low",1,"6/12/21","14:30","P","Angle ","MS","SW","24","28","28_695","F11",71,"D5",41,18,8,"26","TP1"
"20",2,59,"2_59","695","695",220,"21/07/2022","695","Looe",NA,26,"4/2/19",540,395,348,9,NA,"Amox",50,"Low",2,"9/15/21","14:03","P","Angle ","MS","SW","24","220_TS_Keys_2","220_695","G11",83,"G11",83,8,4,"19","TP2"
"21",3,85,"3_85","695","695",282,"18/07/2022","695","Looe",NA,26,"4/2/19",540,395,348,9,NA,"Amox",50,"Low",3,"3/1/22","14:46","A","Angle ","MS","SW","24",NA,"282_695","D7",43,"D7",43,12,8,"18","TP3"
"22",1,68,"1_68","699","699",8,"15/07/2022","699","Looe",NA,11,"4/2/19",110,95,118,6,NA,"Amox",1,"Some",1,"6/12/21",NA,"P","Flat","T","NE","11","8","8_699","F2",62,"E7",55,14,8,"25","TP1"
"23",2,57,"2_57","699","699",212,"20/07/2022","699","Looe",NA,11,"4/2/19",110,95,118,6,NA,"Amox",1,"Some",2,"9/15/21","11:55","A","Flat","T","NE","11","212_TS_Keys_2","212_699","G1",73,"G1",73,4,4,"17","TP2"
"24",3,56,"3_56","699","699",277,"18/07/2022","699","Looe",NA,11,"4/2/19",110,95,118,6,NA,"Amox",1,"Some",3,"3/1/22","12:37","P","Angle","US","NE","11",NA,"277_699","D3",39,"D3",39,31,8,"18","TP3"
"25",1,66,"1_66","713","713",13,"15/07/2022","713","Looe",NA,15,"4/10/19",123,107,145,11,NA,"Amox",2,"Some",1,"6/12/21","15:13","A","Flat","MS","E","12","13","13_713","F5",65,"D6",42,NA,8,"26","TP1"
"26",2,81,"2_81","713","713",208,"20/07/2022","713","Looe",NA,15,"4/10/19",123,107,145,11,NA,"Amox",2,"Some",2,"9/15/21","11:08","A","Flat","MS","E","12","208_TS_Keys_2","208_713","F9",69,"F9",69,13,4,"18","TP2"
"27",3,52,"3_52","713","713",267,"18/07/2022","713","Looe",NA,15,"4/10/19",123,107,145,11,NA,"Amox",2,"Some",3,"3/1/22","12:08","A","Flat","MS","E","12",NA,"267_713","C7",31,"C7",31,13,8,"17","TP3"
"28",1,48,"1_48","719","719",33,"15/07/2022","719","Looe",NA,28,"4/10/19",238,210,205,11,NA,"Amox",20,"Low",1,"6/12/21","11:13","PC","Angle","T","SE","22","33","33_719","G3",75,"E9",57,14,8,"26","TP1"
"29",2,66,"2_66","719","719",224,"20/07/2022","719","Looe",NA,28,"4/10/19",238,210,205,11,NA,"Amox",20,"Low",2,"9/15/21","14:46","P","Angle","T","SE","22","224_TS_Keys_2","224_719","H4",88,"H4",88,2,4,"18","TP2"
"30",3,65,"3_65","719","719",247,"18/07/2022","719","Looe",NA,28,"4/10/19",238,210,205,11,NA,"Amox",20,"Low",3,"3/1/22","10:27","A","Angle","T","SE","22",NA,"247_719","B4",16,"B4",16,30,8,"19","TP3"
"31",1,67,"1_67","741","741",8,"15/07/2022","741","Looe",NA,24,"4/11/19",185,155,178,10,NA,"Amox",22,"Low",1,"6/12/21","10:46","PC","Flat","T","S","20","8","8_741","F3",63,"F10",70,24,8,"26","TP1"
"32",2,56,"2_56","741","741",212,"20/07/2022","741","Looe",NA,24,"4/11/19",185,155,178,10,NA,"Amox",22,"Low",2,"9/15/21","10:12","P","Flat","T","S","20","212_TS_Keys_2","212_741","G3",75,"G3",75,7,4,"18","TP2"
"33",3,60,"3_60","741","741",257,"18/07/2022","741","Looe",NA,24,"4/11/19",185,155,178,10,NA,"Amox",22,"Low",3,"3/1/22","10:11","P","Flat","T","S","20",NA,"257_741","B11",23,"B11",23,32,8,"17","TP3"
"34",1,83,"1_83","753","753",48,"21/07/2022","753","Looe",NA,19,"4/11/19",213,170,148,9,NA,"Amox",12,"Low",1,"6/12/21","10:25","P","Flat","T","W","17","48","48_753","A11",11,"C7",31,24,8,"26","TP1"
"35",2,54,"2_54","753","753",212,"20/07/2022","753","Looe",NA,19,"4/11/19",213,170,148,9,NA,"Amox",12,"Low",2,"9/15/21","10:45","P","Flat","T","W","17","212_TS_Keys_2","212_753","G4",76,"G4",76,11,4,"18","TP2"
"36",3,50,"3_50","753","753",267,"18/07/2022","753","Looe",NA,19,"4/11/19",213,170,148,9,NA,"Amox",12,"Low",3,"3/1/22","11:03","P","Flat","T","W","17",NA,"267_753","C5",29,"C5",29,17,8,"20","TP3"
"37",1,88,"1_88","765","765",53,"21/07/2022","765","Looe",NA,23,"4/17/19",228,125,178,10,NA,"Amox",11,"Some",1,"6/12/21","10:56","A","Vertical","MS","SW","21","53","53_765","E9",57,"B12",24,23,8,"Undetermined","TP1"
"38",2,87,"2_87","765","765",204,"20/07/2022","765","Looe",NA,23,"4/17/19",228,125,178,10,NA,"Amox",11,"Some",2,"9/15/21","10:02","A","Vertical","MS","SW","21","204_TS_Keys_2","204_765","F5",65,"F5",65,5,4,"19","TP2"
"39",3,81,"3_81","765","765",242,"18/07/2022","765","Looe",NA,23,"4/17/19",228,125,178,10,NA,"Amox",11,"Some",3,"3/1/22","10:03","A","Vertical","MS","SW","21",NA,"242_765","A12",12,"A12",12,25,8,"13","TP3"
"40",1,49,"1_49","1004","1004",38,"15/07/2022","1004","Sand",NA,28,"10/10/19",65,53,78,10,NA,"Placebo_2b",12,"Some",1,"6/13/21","12:35","A","Vertical","US","W","29","38","38_1004","G6",78,"F3",63,9,8,"27","TP1"
"41",2,77,"2_77","1004","1004",196,"21/07/2022","1004","Sand",NA,28,"10/10/19",NA,65,78,10,NA,"Placebo_2b",12,"Some",2,"9/14/21","13:49","A","Vertical","US","SW","29","196_TS_Keys_2","196_1004","E9",57,"E9",57,3,4,"19","TP2"
"42",3,89,"3_89","1004","1004",232,"18/07/2022","1004","Sand",NA,28,"10/10/19",NA,65,78,10,NA,"Placebo_2b",12,"Some",3,"2/28/22","11:16","P","Vertical","MS","SW","29","broken sample, 2 pieces","232_1004","A3",3,"A3",3,20,8,"21","TP3"
"43",1,72,"1_72","1220","1220",63,"21/06/2022","1220","Looe",NA,20,"12/7/19",220,150,188,7,NA,"Amox",1,"Some",1,"6/12/21","11:42","A","Vertical","MS","E","19","63","63_1220",NA,NA,NA,NA,NA,NA,NA,NA
"44",2,67,"2_67","1220","1220",224,"20/07/2022","1220","Looe",NA,20,"12/7/19",220,150,188,7,NA,"Amox",1,"Some",2,"9/15/21","15:08","A","Vertical","MS","E","19","224_TS_Keys_2","224_1220","H1",85,"H1",85,6,4,"18","TP2"
"45",3,48,"3_48","1220","1220",262,"18/07/2022","1220","Looe",NA,20,"12/7/19",220,150,188,7,NA,"Amox",1,"Some",3,"3/1/22","10:47","A","Vertical","MS","E","19",NA,"262_1220","C3",27,"C3",27,15,8,"21","TP3"
"46",1,62,"1_62","1280","1280",18,"18/07/2022","1280","Sand",NA,25,"1/2/20",288,115,208,8,NA,"Amoxicillin",90,"Low",1,"6/13/21","11:31","P","Vertical","LS","SW","25","18","18_1280","A5",5,"C5",29,26,8,"25","TP1"
"47",2,63,"2_63","1280","1280",192,"20/07/2022","1280","Sand",NA,25,"1/2/20",NA,288,208,8,NA,"Amoxicillin",90,"Low",2,"9/14/21","14:25","P","Vertical","LS","SW","25","192_TS_Keys_2","192_1280","E8",56,"E8",56,6,4,"18","TP2"
"48",3,63,"3_63","1280","1280",247,"18/07/2022","1280","Sand",NA,25,"1/2/20",NA,288,208,8,NA,"Amoxicillin",90,"Low",3,"2/28/22","11:05","A","Vertical","LS","SW","25",NA,"247_1280","B2",14,"B2",14,24,8,"Undetermined","TP3"
"49",1,54,"1_54","1332","1332",23,"15/07/2022","1332","Sand",NA,22,"2/14/20",100,95,76,6,NA,"Amoxicillin",31,"Low",1,"6/13/21","15:43","P","Vertical","MS","W","21","23","23_1332","F8",68,"A1",1,12,8,"24","TP1"
"50",2,86,"2_86","1332","1332",204,"20/07/2022","1332","Sand",NA,22,"2/14/20",NA,100,76,6,NA,"Amoxicillin",31,"Low",2,"9/14/21","14:49","A","Vertical","MS","W","21","204_TS_Keys_2","204_1332","F6",66,"F6",66,8,4,"18","TP2"
"51",3,74,"3_74","1332","1332",237,"18/07/2022","1332","Sand",NA,22,"2/14/20",NA,100,76,6,NA,"Amoxicillin",31,"Low",3,"2/28/22","14:23","A","Vertical","MS","W","21",NA,"237_1332","A5",5,"A5",5,16,8,"21","TP3"
"52",1,63,"1_63","1340","1340",18,"18/07/2022","1340","Sand",NA,29,"2/14/20",163,131,139,7,NA,"Amoxicillin",26,"Some",1,"6/13/21","15:33","P","Vertical","MS","NE","27","18","18_1340","A6",6,"E8",56,10,8,"26","TP1"
"53",2,89,"2_89","1340","1340",204,"20/07/2022","1340","Sand",NA,29,"2/14/20",NA,163,139,7,NA,"Amoxicillin",26,"Some",2,"9/14/21","14:38","P","Vertical","MS","NE","27","204_TS_Keys_2","204_1340","F8",68,"F8",68,12,4,"18","TP2"
"54",3,58,"3_58","1340","1340",257,"18/07/2022","1340","Sand",NA,29,"2/14/20",NA,163,139,7,NA,"Amoxicillin",26,"Some",3,"2/28/22","14:13","P","Vertical","MS","NE","27",NA,"257_1340","B9",21,"B9",21,10,8,"19","TP3"
"55",1,46,"1_46","1452","1452",33,"15/07/2022","1452","Sand",NA,23,"10/9/19",578,520,392,10,NA,"SK_Exp_B",746,"Low",1,"6/13/21","11:02","P","Angle ","US","SW","15","33","33_1452","G1",73,"C2",26,19,8,"26","TP1"
"56",2,74,"2_74","1452","1452",196,"21/07/2022","1452","Sand",NA,23,"10/9/19",NA,300,260,10,NA,"SK_Exp_B",746,"Low",2,"9/14/21","12:32","P","Angle ","US","SW","15","196_TS_Keys_2","196_1452","E12",60,"E12",60,11,4,"17","TP2"
"57",3,64,"3_64","1452","1452",247,"18/07/2022","1452","Sand",NA,23,"10/9/19",NA,300,260,10,NA,"SK_Exp_B",746,"Low",3,"2/28/22","10:48","P","Angle","US","SW","15",NA,"247_1452","B3",15,"B3",15,36,8,"18","TP3"
"58",1,47,"1_47","1455","1455",33,"15/07/2022","1455","Sand",NA,25,"10/9/19",107,65,78,10,NA,"SK_Exp_B",20,"Some",1,"6/13/21","14:32","P","Vertical","MS","NW","25","33","33_1455","G2",74,"F11",71,23,8,"25","TP1"
"59",2,84,"2_84","1455","1455",184,"20/07/2022","1455","Sand",NA,25,"10/9/19",NA,100,70,10,NA,"SK_Exp_B",20,"Some",2,"9/14/21","10:45","A","Angle ","MS","NW","24","184_TS_Keys_2","184_1455","D9",45,"D9",45,12,4,"19","TP2"
"60",3,62,"3_62","1455","1455",247,"18/07/2022","1455","Sand",NA,25,"10/9/19",NA,100,70,10,NA,"SK_Exp_B",20,"Some",3,"2/28/22","10:30","A","Angle","US","W","24",NA,"247_1455","B1",13,"B1",13,10,8,"23","TP3"
"61",1,84,"1_84","1463","1463",48,"21/07/2022","1463","Sand",NA,24,"10/9/19",505,440,330,10,NA,"SK_Exp_D",696,"Low",1,"6/13/21","10:48","P","Angle ","US","SW","17","48","48_1463","A12",12,"B10",22,24,8,"26","TP1"
"62",2,85,"2_85","1463","1463",184,"20/07/2022","1463","Sand",NA,24,"10/9/19",NA,505,330,10,NA,"SK_Exp_D",696,"Low",2,"9/14/21","11:48","P","Angle ","US","SW","17","184_TS_Keys_2","184_1463","D12",48,"D12",48,7,4,"17","TP2"
"63",3,87,"3_87","1463","1463",232,"18/07/2022","1463","Sand",NA,24,"10/9/19",NA,505,330,10,NA,"SK_Exp_D",696,"Low",3,"2/28/22","10:41","A","Vertical","US","SW","17",NA,"232_1463","A1",1,"A1",1,20,8,"20","TP3"
"64",1,53,"1_53","1470","1470",23,"15/07/2022","1470","Sand",NA,34,"10/10/19",52,46,41,8,NA,"SK_Exp_D",6,"Some",1,"6/13/21","15:11","A","Vertical","MS","S","33","23, mucus","23_1470","F7",67,"A4",4,18,8,"26","TP1"
"65",2,75,"2_75","1470","1470",196,"21/07/2022","1470","Sand",NA,34,"10/10/19",NA,52,41,8,NA,"SK_Exp_D",6,"Some",2,"9/14/21","13:34","A","NEED FRAMER PHOTOS FROM Set 2",NA,NA,NA,"196_TS_Keys_2","196_1470","E11",59,"E11",59,11,4,"20","TP2"
"66",3,51,"3_51","1470","1470",267,"18/07/2022","1470","Sand",NA,34,"10/10/19",NA,52,41,8,NA,"SK_Exp_D",6,"Some",3,"2/28/22","13:58","A","Vertical","BS","S","33",NA,"267_1470","C6",30,"C6",30,8,8,"20","TP3"
"67",1,78,"1_78","3342","3342",73,"21/06/2022","3342","Sand",NA,24,"2/14/20",170,108,160,7,NA,"Amoxicillin",27,"Some",1,"6/13/21","10:32","P","Flat","LS","NW","25","73","73_3342",NA,NA,NA,NA,NA,NA,NA,NA
"68",2,62,"2_62","3342","3342",192,"20/07/2022","3342","Sand",NA,NA,"2/14/20",NA,155,158,7,NA,"Amoxicillin",27,"Some",2,"9/14/21","12:57","A","Vertical","LS","NW","25","192_TS_Keys_2","192_3342","E5",53,"E5",53,8,4,"18","TP2"
"69",3,70,"3_70","3342","3342",252,"18/07/2022","3342","Sand",NA,NA,"2/14/20",NA,155,158,7,NA,"Amoxicillin",27,"Some",3,"2/28/22","12:15","A","Vertical","LS","NW","25",NA,"252_3342","B5",17,"B5",17,13,8,"21","TP3"
"70",1,57,"1_57","3343","3343",28,"15/07/2022","3343","Sand",NA,23,"2/14/20",99,90,90,7,NA,"Amoxicillin",90,"Low",1,"6/13/21","11:19","P","?","?","?","?","28","28_3343","F12",72,"E11",59,31,8,"24","TP1"
"71",2,47,"2_47","3343","3343",188,"20/07/2022","3343","Sand",NA,NA,"2/14/20",NA,99,90,7,NA,"Amoxicillin",90,"Low",2,"9/14/21","11:38","P","Vertical","US","N","19","188_TS_Keys_2","188_3343","E4",52,"E4",52,5,4,"18","TP2"
"72",3,75,"3_75","3343","3343",237,"18/07/2022","3343","Sand",NA,NA,"2/14/20",NA,99,90,7,NA,"Amoxicillin",90,"Low",3,"2/28/22","10:12","A","Vertical","US","N","19",NA,"237_3343","A6",6,"A6",6,13,8,"19","TP3"
"73",1,80,"1_80","3420","3420",58,"21/06/2022","3420","Sand",NA,23,"4/2/20",68,48,68,6,NA,"Amoxicillin",2,"Some",1,"6/13/21","13:25","A","Angle ","US","N","21","58","58_3420",NA,NA,NA,NA,NA,NA,NA,NA
"74",2,65,"2_65","3420","3420",192,"20/07/2022","3420","Sand",NA,NA,"4/2/20",NA,68,68,6,NA,"Amoxicillin",2,"Some",2,"9/14/21","11:01","A","Vertical","US","N","21","192_TS_Keys_2","192_3420","E6",54,"E6",54,6,4,"19","TP2"
"75",3,80,"3_80","3420","3420",242,"18/07/2022","3420","Sand",NA,NA,"4/2/20",NA,68,68,6,NA,"Amoxicillin",2,"Some",3,"2/28/22","12:30","A","Vertical","US","N","21",NA,"242_3420","A11",11,"A11",11,20,8,"20","TP3"
"76",1,86,"1_86","3421","3421",43,"21/07/2022","3421","Looe",NA,25,"3/13/20",218,185,184,6,NA,"Amox",4,"Some",1,"6/12/21","11:32","PC","Vertical","MS","W","21","43","43_3421","A9",9,"B6",18,18,8,"26","TP1"
"77",2,58,"2_58","3421","3421",220,"21/07/2022","3421","Looe",NA,25,"3/13/20",218,185,184,6,NA,"Amox",4,"Some",2,"9/15/21","14:57","P","Vertical","MS","W","21","220_TS_Keys_2","220_3421","G12",84,"G12",84,9,4,"26","TP2"
"78",3,61,"3_61","3421","3421",257,"18/07/2022","3421","Looe",NA,25,"3/13/20",218,185,184,6,NA,"Amox",4,"Some",3,"3/1/22","10:34","P","Angle","LS","NE","23",NA,"257_3421","B12",24,"B12",24,35,8,"18","TP3"
"79",1,76,"1_76","3446","3446",73,"21/06/2022","3446","Looe",NA,24,"3/25/20",65,61,68,6,NA,"Amox",2,"Some",1,"6/12/21","13:02","A","Flat","T","S","22","73","73_3446",NA,NA,NA,NA,NA,NA,NA,NA
"80",2,70,"2_70","3446","3446",216,"21/07/2022","3446","Looe",NA,24,"3/25/20",65,61,68,6,NA,"Amox",2,"Some",2,"9/15/21","13:19","A","Flat","T","S","22","216_TS_Keys_2","216_3446","G6",78,"G6",78,15,4,"17","TP2"
"81",3,66,"3_66","3446","3446",272,"18/07/2022","3446","Looe",NA,24,"3/25/20",65,61,68,6,NA,"Amox",2,"Some",3,"3/1/22","13:13","A","Angle","US","SW","22",NA,"272_3446","C9",33,"C9",33,20,8,"18","TP3"
"82",1,74,"1_74","4360","4360",68,"21/06/2022","4360","Sand",NA,23,"6/10/20",212,170,173,5,NA,"Amoxicillin",58,"Low",1,"6/13/21","16:00","P","Vertical","LS","SW","24","68","68_4360",NA,NA,NA,NA,NA,NA,NA,NA
"83",2,51,"2_51","4360","4360",200,"21/07/2022","4360","Sand",NA,NA,"6/10/20",NA,212,173,5,NA,"Amoxicillin",58,"Low",2,"9/14/21","15:03","P","Vertical","LS","SW","24","200_TS_Keys_2","200_4360","F3",63,"F3",63,8,4,"18","TP2"
"84",3,72,"3_72","4360","4360",252,"18/07/2022","4360","Sand",NA,NA,"6/10/20",NA,212,173,5,NA,"Amoxicillin",58,"Low",3,"2/28/22","14:35","A","Vertical","MS","SE","21",NA,"252_4360","B7",19,"B7",19,28,8,"19","TP3"
"85",1,58,"1_58","4503","4503",3,"18/07/2022","4503","Sand",NA,20,"6/10/20",90,77,65,5,NA,"Amoxicillin",1,"Some",1,"6/13/21","14:03","A","Angle ","US","NE","19","3","3_4503","A1",1,"B8",20,19,8,"26","TP1"
"86",2,49,"2_49","4503","4503",188,"20/07/2022","4503","Sand",NA,NA,"6/10/20",NA,90,65,5,NA,"Amoxicillin",1,"Some",2,"9/14/21","11:19","A","Angle ","US","NE","19","188_TS_Keys_2","188_4503","E1",49,"E1",49,4,4,"17","TP2"
"87",3,71,"3_71","4503","4503",252,"18/07/2022","4503","Sand",NA,NA,"6/10/20",NA,90,65,5,NA,"Amoxicillin",1,"Some",3,"2/28/22","12:46","A","Angle ","US","NE","19",NA,"252_4503","B6",18,"B6",18,28,8,"18","TP3"
