"","Sample_ID","RNA_Original_concentration","RNA_Dilution_concentration","Cq","Plate_Number"
"1","23_1332",12,8,"24","TP1"
"2","23_N50",15,8,"25","TP1"
"3","28_N67",26,8,"28","TP1"
"4","23_1470",18,8,"26","TP1"
"5","88_LC043",21,8,"28","TP1"
"6","128_LC127",19,8,"26","TP1"
"7","83_LC115",13,8,"26","TP1"
"8","83_LC053",16,8,"26","TP1"
"9","118_LC110",22,8,"26","TP1"
"10","88_LC005",19,8,"25","TP1"
"11","113_LC077",15,8,"20","TP1"
"12","118_LC018",24,8,"25","TP1"
"13","53_N49",9,8,"25","TP1"
"14","98_MC011",13,8,"26","TP1"
"15","103_LC064",15,8,"27","TP1"
"16","83_LC049",14,8,"26","TP1"
"17","128_LC129",25,8,"26","TP1"
"18","43_3421",18,8,"26","TP1"
"19","103_LC114",16,8,"26","TP1"
"20","3_4503",19,8,"26","TP1"
"21","93_LC055",17,8,"25","TP1"
"22","48_1463",24,8,"26","TP1"
"23","113_MC002",18,8,"25","TP1"
"24","53_765",23,8,"20","TP1"
"25","43_N73",18,8,"25","TP1"
"26","33_1452",19,8,"26","TP1"
"27","133_MC005",19,8,"27","TP1"
"28","98_MC014",16,8,"26","TP1"
"29","18_1280",26,8,"25","TP1"
"30","38_N70",16,8,"27","TP1"
"31","48_753",24,8,"26","TP1"
"32","108_LC062",20,8,"26","TP1"
"33","108_LC007",22,8,"26","TP1"
"34","118_LC126",28,8,"25","TP1"
"35","123_LC024",21,8,"19","TP1"
"36","38_N46",24,8,"20","TP1"
"37","108_MC019",17,8,"25","TP1"
"38","48_663",21,8,"26","TP1"
"39","93_LC052",18,8,"27","TP1"
"40","8_N72",28,8,"28","TP1"
"41","28_695",18,8,"26","TP1"
"42","13_713",NA,8,"26","TP1"
"43","13_N59",22,8,"25","TP1"
"44","43_675",17,8,"21","TP1"
"45","103_MC027",22,8,"26","TP1"
"46","108_LC122",14,8,"26","TP1"
"47","113_LC013",17,8,"25","TP1"
"48","3_689",10,8,"26","TP1"
"49","123_LC058",16,8,"24","TP1"
"50","128_LC101",32,8,"26","TP1"
"51","118_LC124",30,8,"27","TP1"
"52","103_MC026",20,8,"27","TP1"
"53","53_693",18,8,"25","TP1"
"54","123_LC157",21,8,"19","TP1"
"55","8_699",14,8,"25","TP1"
"56","18_1340",10,8,"26","TP1"
"57","33_719",14,8,"26","TP1"
"58","113_LC016",15,8,"25","TP1"
"59","28_3343",31,8,"24","TP1"
"60","123_LC123",33,8,"25","TP1"
"61","78_LC003",21,8,"25","TP1"
"62","13_N48",22,8,"26","TP1"
"63","38_1004",9,8,"27","TP1"
"64","128_LC125",12,8,"28","TP1"
"65","93_LC048",25,8,"26","TP1"
"66","98_LC079",12,8,"27","TP1"
"67","3_4616",12,8,"26","TP1"
"68","78_LC078",19,8,"26","TP1"
"69","78_LC041",18,8,"26","TP1"
"70","8_741",24,8,"26","TP1"
"71","33_1455",23,8,"25","TP1"
"72","98_LC085",15,8,"21","TP1"
"73","88_LC045",21,8,"25","TP1"
"74","83_LC042",14,8,"26","TP1"
"75","18_N60",14,8,"26","TP1"
"76","88_MC032",16,8,"27","TP1"
"77","93_LC088",16,8,"25","TP1"
"78","78_LC056",15,8,"26","TP1"
"79","58_617",2,1,"20","Plate8"
"80","63_679",3,1,"22","Plate8"
"81","63_1220",2,1,"22","Plate8"
"82","73_3342",1,1,"21","Plate8"
"83","58_3420",3,1,"22","Plate8"
"84","73_3446",3,1,"22","Plate8"
"85","68_4360",4,1,"22","Plate8"
"86","58_N52",4,1,"20","Plate8"
"87","73_N53",2,1,"21","Plate8"
"88","68_N54",4,1,"21","Plate8"
"89","63_N56",1,1,"23","Plate8"
"90","68_N58",2,1,"22","Plate8"
"91","136_LC064",4,4,"18","TP2"
"92","136_LC079",7,4,"19","TP2"
"93","136_LC101",11,4,"19","TP2"
"94","136_MC011",7,4,"18","TP2"
"95","140_LC062",11,4,"18","TP2"
"96","140_LC077",7,4,"19","TP2"
"97","140_LC110",8,4,"18","TP2"
"98","140_MC027",7,4,"19","TP2"
"99","144_LC088",10,4,"19","TP2"
"100","144_LC114",6,4,"20","TP2"
"101","144_MC014",7,4,"19","TP2"
"102","144_MC026",8,4,"20","TP2"
"103","148_LC085",7,4,"18","TP2"
"104","148_LC129",8,4,"19","TP2"
"105","148_MC005",11,4,"20","TP2"
"106","148_MC019",5,4,"18","TP2"
"107","152_LC124",10,4,"19","TP2"
"108","152_LC125",7,4,"18","TP2"
"109","152_LC126",6,4,"17","TP2"
"110","152_LC127",14,4,"18","TP2"
"111","156_LC007",6,4,"18","TP2"
"112","156_LC018",4,4,"18","TP2"
"113","156_LC024",11,4,"18","TP2"
"114","156_LC058",7,4,"21","TP2"
"115","160_LC013",11,4,"18","TP2"
"116","160_LC123",13,4,"19","TP2"
"117","160_LC157",12,4,"19","TP2"
"118","160_MC002",7,4,"18","TP2"
"119","164_LC016",5,4,"19","TP2"
"120","164_LC048",8,4,"19","TP2"
"121","164_LC115",4,4,"18","TP2"
"122","164_LC122",7,4,"19","TP2"
"123","168_LC003",8,4,"18","TP2"
"124","168_LC045",5,4,"19","TP2"
"125","168_LC055",15,4,"19","TP2"
"126","168_MC032",7,4,"20","TP2"
"127","172_LC005",4,4,"16","TP2"
"128","172_LC049",9,4,"18","TP2"
"129","172_LC053",4,4,"18","TP2"
"130","172_LC056",5,4,"17","TP2"
"131","176_LC041",7,4,"18","TP2"
"132","176_LC042",7,4,"18","TP2"
"133","176_LC043",7,4,"18","TP2"
"134","176_LC052",9,4,"18","TP2"
"135","184_1455",12,4,"19","TP2"
"136","184_N46",11,4,"19","TP2"
"137","184_N72",11,4,"18","TP2"
"138","184_1463",7,4,"17","TP2"
"139","188_4503",4,4,"17","TP2"
"140","188_N60",5,4,"18","TP2"
"141","188_N70",7,4,"18","TP2"
"142","188_3343",5,4,"18","TP2"
"143","192_3342",8,4,"18","TP2"
"144","192_3420",6,4,"19","TP2"
"145","192_N49",4,4,"18","TP2"
"146","192_1280",6,4,"18","TP2"
"147","196_1004",3,4,"19","TP2"
"148","196_N67",10,4,"18","TP2"
"149","196_1470",11,4,"20","TP2"
"150","196_1452",11,4,"17","TP2"
"151","200_N59",9,4,"17","TP2"
"152","200_N73",7,4,"19","TP2"
"153","200_4360",8,4,"18","TP2"
"154","200_4616",4,4,"18","TP2"
"155","204_765",5,4,"19","TP2"
"156","204_1332",8,4,"18","TP2"
"157","204_689",4,4,"18","TP2"
"158","204_1340",12,4,"18","TP2"
"159","208_713",13,4,"18","TP2"
"160","208_N52",7,4,"19","TP2"
"161","208_N54",6,4,"18","TP2"
"162","208_N56",4,4,"21","TP2"
"163","212_699",4,4,"17","TP2"
"164","212_N48",9,4,"19","TP2"
"165","212_741",7,4,"18","TP2"
"166","212_753",11,4,"18","TP2"
"167","216_693",11,4,"19","TP2"
"168","216_3446",15,4,"17","TP2"
"169","216_N50",7,4,"17","TP2"
"170","216_N58",8,4,"17","TP2"
"171","220_617",8,4,"18","TP2"
"172","220_675",4,4,"19","TP2"
"173","220_695",8,4,"19","TP2"
"174","220_3421",9,4,"26","TP2"
"175","224_1220",6,4,"18","TP2"
"176","224_N53",9,4,"19","TP2"
"177","224_663",5,4,"18","TP2"
"178","224_719",2,4,"18","TP2"
"179","180_LC078",6,4,"19","TP2"
"180","228_679",5,4,"18","TP2"
"181","232_1463",20,8,"20","TP3"
"182","232_N60",20,8,"19","TP3"
"183","232_1004",20,8,"21","TP3"
"184","232_N46",23,8,"17","TP3"
"185","237_1332",16,8,"21","TP3"
"186","237_3343",13,8,"19","TP3"
"187","237_N49",32,8,"19","TP3"
"188","237_N67",26,8,"18","TP3"
"189","242_N70",28,8,"19","TP3"
"190","242_N72",25,8,"15","TP3"
"191","242_3420",20,8,"20","TP3"
"192","242_765",25,8,"13","TP3"
"193","247_1455",10,8,"23","TP3"
"194","247_1280",24,8,"22","TP3"
"195","247_1452",36,8,"18","TP3"
"196","247_719",30,8,"19","TP3"
"197","252_3342",13,8,"21","TP3"
"198","252_4503",28,8,"18","TP3"
"199","252_4360",28,8,"19","TP3"
"200","252_4616",16,8,"19","TP3"
"201","257_1340",10,8,"19","TP3"
"202","257_N73",18,8,"21","TP3"
"203","257_741",32,8,"17","TP3"
"204","257_3421",35,8,"18","TP3"
"205","262_N50",25,8,"19","TP3"
"206","262_N48",10,8,"14","TP3"
"207","262_1220",15,8,"21","TP3"
"208","262_N52",19,8,"18","TP3"
"209","267_753",17,8,"20","TP3"
"210","267_1470",8,8,"20","TP3"
"211","267_713",13,8,"17","TP3"
"212","267_N54",26,8,"17","TP3"
"213","272_3446",20,8,"18","TP3"
"214","272_N58",18,8,"21","TP3"
"215","272_N56",22,8,"17","TP3"
"216","272_675",27,8,"18","TP3"
"217","277_N53",17,8,"17","TP3"
"218","277_617",18,8,"19","TP3"
"219","277_699",31,8,"18","TP3"
"220","277_679",18,8,"20","TP3"
"221","282_689",15,8,"21","TP3"
"222","282_N59",33,8,"17","TP3"
"223","282_695",12,8,"18","TP3"
"224","282_663",28,8,"22","TP3"
"225","292_LC129",16,8,"20","TP3"
"226","292_LC124",10,8,"16","TP3"
"227","292_LC024",12,8,"19","TP3"
"228","292_MC005",6,8,"19","TP3"
"229","297_LC018",16,8,"19","TP3"
"230","297_LC125",24,8,"19","TP3"
"231","297_LC013",24,8,"21","TP3"
"232","297_LC127",17,8,"17","TP3"
"233","302_LC157",32,8,"19","TP3"
"234","302_LC007",22,8,"18","TP3"
"235","302_LC126",12,8,"19","TP3"
"236","302_LC123",20,8,"16","TP3"
"237","307_MC014",17,8,"17","TP3"
"238","307_LC114",13,8,"20","TP3"
"239","307_LC077",30,8,"15","TP3"
"240","307_MC027",14,8,"15","TP3"
"241","312_LC088",15,8,"19","TP3"
"242","312_LC064",30,8,"15","TP3"
"243","312_LC062",30,8,"19","TP3"
"244","312_MC011",15,8,"19","TP3"
"245","317_LC085",12,8,"20","TP3"
"246","317_MC026",15,8,"19","TP3"
"247","317_LC110",21,8,"14","TP3"
"248","317_LC079",16,8,"19","TP3"
"249","322_LC016",22,8,"19","TP3"
"250","322_LC122",17,8,"18","TP3"
"251","322_MC019",17,8,"18","TP3"
"252","322_LC101",11,8,"20","TP3"
"253","327_LC115",16,8,"19","TP3"
"254","327_LC042",23,8,"14","TP3"
"255","327_MC002",25,8,"19","TP3"
"256","327_LC058",25,8,"18","TP3"
"257","332_LC043",22,8,"20","TP3"
"258","332_LC049",17,8,"18","TP3"
"259","332_LC078",14,8,"18","TP3"
"260","332_LC045",20,8,"18","TP3"
"261","337_LC041",13,8,"19","TP3"
"262","337_LC003",21,8,"17","TP3"
"263","337_LC056",19,8,"19","TP3"
"264","337_MC032",28,8,"21","TP3"
"265","342_LC005",13,8,"19","TP3"
"266","342_LC053",12,8,"19","TP3"
"267","342_LC055",26,8,"18","TP3"
"268","342_LC048",24,8,"20","TP3"
"269","287_693",23,8,"19","TP3"
"270","347_LC052",15,8,"19","TP3"
